date,product,category,price,quantity,revenue,region
2024-01-26,Shoes,Fashion,4471,9,40239,North
2024-01-26,Shoes,Fashion,2827,10,28270,East
2024-01-26,Laptop,Electronics,68637,3,205911,North
2024-01-26,Laptop,Electronics,80715,9,726435,South
2024-01-26,Headphones,Electronics,8641,8,69128,East
2024-01-26,Phone,Electronics,26109,5,130545,East
2024-01-26,Shoes,Fashion,6725,2,13450,West
2024-01-27,Watch,Fashion,7955,9,71595,West
2024-01-27,Headphones,Electronics,8361,3,25083,South
2024-01-27,Watch,Fashion,18003,7,126021,East
2024-01-27,Shoes,Fashion,5766,2,11532,West
2024-01-27,Shoes,Fashion,2266,8,18128,North
2024-01-27,Laptop,Electronics,75660,8,605280,East
2024-01-27,Headphones,Electronics,5506,9,49554,North
2024-01-27,Shoes,Fashion,4973,1,4973,East
2024-01-27,Shoes,Fashion,3063,5,15315,North
2024-01-28,Shoes,Fashion,4683,5,23415,South
2024-01-28,Laptop,Electronics,136736,1,136736,East
2024-01-28,Phone,Electronics,75751,7,530257,East
2024-01-28,Phone,Electronics,40120,2,80240,North
2024-01-28,Laptop,Electronics,85715,6,514290,North
2024-01-29,Phone,Electronics,29289,3,87867,South
2024-01-29,Laptop,Electronics,56664,3,169992,North
2024-01-29,Watch,Fashion,7325,2,14650,East
2024-01-30,Shoes,Fashion,5739,1,5739,South
2024-01-30,Laptop,Electronics,118763,10,1187630,West
2024-01-30,Watch,Fashion,3829,8,30632,North
2024-01-30,Headphones,Electronics,14487,8,115896,West
2024-01-31,Headphones,Electronics,3576,1,3576,West
2024-01-31,Headphones,Electronics,6310,8,50480,South
2024-01-31,Headphones,Electronics,10710,5,53550,North
2024-01-31,Shoes,Fashion,7563,4,30252,West
2024-01-31,Shoes,Fashion,6570,10,65700,East
2024-02-01,Laptop,Electronics,89306,4,357224,West
2024-02-01,Laptop,Electronics,96198,7,673386,East
2024-02-01,Shoes,Fashion,5348,9,48132,East
2024-02-01,Phone,Electronics,57503,6,345018,South
2024-02-02,Watch,Fashion,8190,4,32760,South
2024-02-02,Shoes,Fashion,5350,7,37450,South
2024-02-02,Shoes,Fashion,2399,4,9596,West
2024-02-02,Phone,Electronics,68996,1,68996,West
2024-02-02,Laptop,Electronics,76929,3,230787,South
2024-02-02,Laptop,Electronics,60892,10,608920,West
2024-02-03,Laptop,Electronics,122173,8,977384,East
2024-02-03,Shoes,Fashion,5276,8,42208,East
2024-02-03,Shoes,Fashion,7986,10,79860,North
2024-02-03,Watch,Fashion,13107,8,104856,West
2024-02-03,Laptop,Electronics,121753,6,730518,East
2024-02-03,Shoes,Fashion,4878,5,24390,West
2024-02-03,Laptop,Electronics,136051,6,816306,South
2024-02-03,Headphones,Electronics,3699,5,18495,South
2024-02-03,Headphones,Electronics,12927,8,103416,North
2024-02-03,Watch,Fashion,8973,4,35892,North
2024-02-04,Laptop,Electronics,125003,10,1250030,South
2024-02-04,Headphones,Electronics,12548,8,100384,South
2024-02-04,Headphones,Electronics,2500,4,10000,North
2024-02-04,Phone,Electronics,73780,4,295120,West
2024-02-04,Laptop,Electronics,51226,6,307356,South
2024-02-04,Phone,Electronics,79042,7,553294,North
2024-02-05,Watch,Fashion,6102,6,36612,South
2024-02-05,Headphones,Electronics,7798,2,15596,West
2024-02-05,Phone,Electronics,47314,8,378512,North
2024-02-05,Laptop,Electronics,117907,1,117907,East
2024-02-05,Shoes,Fashion,1030,7,7210,South
2024-02-05,Laptop,Electronics,131072,8,1048576,East
2024-02-06,Laptop,Electronics,135439,4,541756,North
2024-02-07,Watch,Fashion,17133,8,137064,East
2024-02-07,Phone,Electronics,24055,6,144330,West
2024-02-07,Headphones,Electronics,5484,10,54840,South
2024-02-07,Headphones,Electronics,3373,2,6746,East
2024-02-07,Laptop,Electronics,138482,10,1384820,North
2024-02-08,Shoes,Fashion,1725,10,17250,North
2024-02-09,Laptop,Electronics,131578,6,789468,East
2024-02-09,Laptop,Electronics,65015,6,390090,East
2024-02-09,Laptop,Electronics,63451,9,571059,North
2024-02-09,Headphones,Electronics,8420,7,58940,East
2024-02-10,Watch,Fashion,10694,1,10694,South
2024-02-10,Shoes,Fashion,7812,10,78120,South
2024-02-11,Headphones,Electronics,3118,8,24944,North
2024-02-12,Watch,Fashion,2284,10,22840,West
2024-02-12,Laptop,Electronics,69703,6,418218,North
2024-02-13,Headphones,Electronics,7993,7,55951,West
2024-02-13,Phone,Electronics,59895,1,59895,South
2024-02-13,Headphones,Electronics,4720,7,33040,West
2024-02-14,Laptop,Electronics,67563,3,202689,North
2024-02-14,Watch,Fashion,16590,8,132720,East
2024-02-14,Headphones,Electronics,10474,7,73318,East
2024-02-14,Laptop,Electronics,122965,9,1106685,South
2024-02-14,Watch,Fashion,18617,2,37234,South
2024-02-15,Phone,Electronics,24370,10,243700,North
2024-02-15,Phone,Electronics,16829,9,151461,South
2024-02-15,Headphones,Electronics,8646,2,17292,East
2024-02-15,Shoes,Fashion,6334,6,38004,North
2024-02-15,Phone,Electronics,35038,2,70076,South
2024-02-15,Watch,Fashion,19970,7,139790,West
2024-02-15,Laptop,Electronics,67966,2,135932,East
2024-02-16,Laptop,Electronics,98830,10,988300,West
2024-02-16,Phone,Electronics,73536,1,73536,South
2024-02-16,Watch,Fashion,8960,1,8960,South
2024-02-16,Watch,Fashion,2758,2,5516,East
2024-02-16,Phone,Electronics,72186,3,216558,North
2024-02-16,Shoes,Fashion,3087,1,3087,North
2024-02-16,Watch,Fashion,14717,6,88302,North
2024-02-17,Laptop,Electronics,122863,1,122863,East
2024-02-17,Laptop,Electronics,86799,10,867990,East
2024-02-17,Watch,Fashion,14416,5,72080,North
2024-02-17,Watch,Fashion,19208,2,38416,West
2024-02-18,Phone,Electronics,22559,2,45118,East
2024-02-18,Headphones,Electronics,10336,7,72352,West
2024-02-18,Headphones,Electronics,5121,4,20484,North
2024-02-18,Shoes,Fashion,6505,7,45535,North
2024-02-18,Shoes,Fashion,1104,4,4416,East
2024-02-19,Watch,Fashion,18624,5,93120,South
2024-02-19,Phone,Electronics,28334,6,170004,South
2024-02-19,Shoes,Fashion,5235,7,36645,East
2024-02-20,Phone,Electronics,27841,10,278410,North
2024-02-20,Laptop,Electronics,108801,4,435204,South
2024-02-20,Shoes,Fashion,1380,2,2760,West
2024-02-20,Watch,Fashion,3726,8,29808,North
2024-02-20,Phone,Electronics,56832,1,56832,West
2024-02-20,Watch,Fashion,19635,4,78540,North
2024-02-21,Shoes,Fashion,7864,9,70776,West
2024-02-21,Headphones,Electronics,9748,6,58488,North
2024-02-21,Shoes,Fashion,1518,5,7590,North
2024-02-21,Phone,Electronics,58647,5,293235,West
2024-02-21,Watch,Fashion,6111,6,36666,North
2024-02-21,Phone,Electronics,36647,1,36647,North
2024-02-21,Headphones,Electronics,2640,2,5280,North
2024-02-22,Laptop,Electronics,50383,6,302298,North
2024-02-23,Phone,Electronics,41124,10,411240,South
2024-02-23,Watch,Fashion,15154,1,15154,North
2024-02-23,Headphones,Electronics,13164,5,65820,West
2024-02-23,Headphones,Electronics,5943,1,5943,South
2024-02-23,Headphones,Electronics,6332,9,56988,East
2024-02-24,Laptop,Electronics,77707,10,777070,North
2024-02-24,Watch,Fashion,4061,3,12183,West
2024-02-25,Watch,Fashion,2314,9,20826,South
2024-02-25,Phone,Electronics,32196,7,225372,North
2024-02-26,Shoes,Fashion,6962,8,55696,North
2024-02-26,Watch,Fashion,5604,5,28020,South
2024-02-27,Shoes,Fashion,1050,3,3150,South
2024-02-27,Watch,Fashion,2335,2,4670,West
2024-02-27,Phone,Electronics,23973,1,23973,North
2024-02-27,Watch,Fashion,13304,10,133040,South
2024-02-27,Laptop,Electronics,76038,5,380190,North
2024-02-27,Shoes,Fashion,2952,1,2952,North
2024-02-27,Shoes,Fashion,3226,7,22582,South
2024-02-28,Shoes,Fashion,6866,8,54928,East
2024-02-28,Phone,Electronics,67923,8,543384,North
2024-02-28,Watch,Fashion,16932,5,84660,West
2024-02-28,Shoes,Fashion,1354,7,9478,North
2024-02-28,Shoes,Fashion,5088,6,30528,South
2024-02-28,Phone,Electronics,38098,1,38098,West
2024-02-29,Shoes,Fashion,2234,5,11170,East
2024-02-29,Watch,Fashion,15284,3,45852,East
2024-02-29,Phone,Electronics,57788,9,520092,South
2024-03-01,Watch,Fashion,17370,3,52110,North
2024-03-01,Laptop,Electronics,129287,2,258574,West
2024-03-01,Laptop,Electronics,130245,5,651225,North
2024-03-01,Watch,Fashion,15499,5,77495,South
2024-03-01,Laptop,Electronics,133526,8,1068208,East
2024-03-02,Headphones,Electronics,3776,10,37760,East
2024-03-02,Laptop,Electronics,96253,9,866277,West
2024-03-02,Watch,Fashion,8823,3,26469,North
2024-03-02,Watch,Fashion,14555,6,87330,North
2024-03-02,Phone,Electronics,58047,5,290235,North
2024-03-02,Watch,Fashion,12774,8,102192,West
2024-03-02,Headphones,Electronics,14626,4,58504,South
2024-03-02,Headphones,Electronics,3704,1,3704,North
2024-03-03,Headphones,Electronics,8632,3,25896,West
2024-03-03,Phone,Electronics,24672,2,49344,North
2024-03-03,Watch,Fashion,9971,7,69797,East
2024-03-03,Shoes,Fashion,3618,8,28944,West
2024-03-03,Shoes,Fashion,6928,3,20784,South
2024-03-03,Phone,Electronics,67342,7,471394,South
2024-03-03,Watch,Fashion,2687,9,24183,East
2024-03-04,Headphones,Electronics,5524,7,38668,East
2024-03-04,Headphones,Electronics,14765,5,73825,North
2024-03-04,Headphones,Electronics,12331,4,49324,West
2024-03-04,Phone,Electronics,28604,1,28604,North
2024-03-05,Headphones,Electronics,3142,5,15710,North
2024-03-05,Headphones,Electronics,4561,2,9122,West
2024-03-05,Phone,Electronics,77198,3,231594,East
2024-03-05,Shoes,Fashion,5008,4,20032,South
2024-03-05,Headphones,Electronics,5130,10,51300,South
2024-03-05,Headphones,Electronics,6426,2,12852,South
2024-03-06,Headphones,Electronics,9988,4,39952,South
2024-03-06,Watch,Fashion,8324,4,33296,North
2024-03-07,Shoes,Fashion,6973,6,41838,South
2024-03-07,Shoes,Fashion,2436,8,19488,South
2024-03-07,Phone,Electronics,70406,2,140812,South
2024-03-08,Laptop,Electronics,118972,5,594860,South
2024-03-08,Watch,Fashion,10556,1,10556,West
2024-03-08,Laptop,Electronics,144670,1,144670,South
2024-03-09,Headphones,Electronics,9858,8,78864,South
2024-03-09,Laptop,Electronics,146647,3,439941,West
2024-03-09,Headphones,Electronics,13177,8,105416,North
2024-03-09,Phone,Electronics,35739,3,107217,North
2024-03-10,Watch,Fashion,6886,5,34430,South
2024-03-10,Laptop,Electronics,60669,2,121338,West
2024-03-11,Watch,Fashion,16985,8,135880,East
2024-03-11,Headphones,Electronics,13559,1,13559,East
2024-03-11,Laptop,Electronics,92591,5,462955,East
2024-03-11,Headphones,Electronics,5766,10,57660,South
2024-03-11,Headphones,Electronics,10553,3,31659,East
2024-03-11,Shoes,Fashion,4639,5,23195,North
2024-03-11,Laptop,Electronics,98823,7,691761,East
2024-03-12,Headphones,Electronics,9618,5,48090,West
2024-03-12,Watch,Fashion,14990,1,14990,South
2024-03-12,Watch,Fashion,4898,1,4898,North
2024-03-12,Shoes,Fashion,3767,1,3767,North
2024-03-13,Laptop,Electronics,141945,9,1277505,West
2024-03-13,Watch,Fashion,17928,4,71712,East
2024-03-13,Phone,Electronics,58595,2,117190,West
2024-03-14,Shoes,Fashion,1796,2,3592,East
2024-03-14,Phone,Electronics,47169,2,94338,North
2024-03-14,Laptop,Electronics,93935,3,281805,South
2024-03-15,Headphones,Electronics,7941,8,63528,North
2024-03-15,Shoes,Fashion,6147,7,43029,East
2024-03-15,Laptop,Electronics,139524,6,837144,East
2024-03-15,Shoes,Fashion,1622,2,3244,South
2024-03-16,Shoes,Fashion,5040,8,40320,East
2024-03-16,Laptop,Electronics,149161,8,1193288,South
2024-03-16,Shoes,Fashion,4509,8,36072,South
2024-03-17,Headphones,Electronics,4808,2,9616,North
2024-03-17,Headphones,Electronics,12830,4,51320,North
2024-03-17,Phone,Electronics,57080,8,456640,South
2024-03-18,Phone,Electronics,61490,10,614900,North
2024-03-18,Laptop,Electronics,63733,8,509864,South
2024-03-19,Shoes,Fashion,1741,4,6964,North
2024-03-19,Shoes,Fashion,2446,2,4892,East
2024-03-20,Shoes,Fashion,2425,8,19400,South
2024-03-20,Watch,Fashion,13410,1,13410,West
2024-03-20,Headphones,Electronics,12221,9,109989,West
2024-03-20,Watch,Fashion,16193,5,80965,North
2024-03-21,Watch,Fashion,4232,3,12696,North
2024-03-22,Phone,Electronics,36435,2,72870,West
2024-03-22,Phone,Electronics,65135,3,195405,South
2024-03-22,Phone,Electronics,48911,2,97822,West
2024-03-22,Laptop,Electronics,128956,9,1160604,East
2024-03-23,Shoes,Fashion,3294,8,26352,East
2024-03-23,Shoes,Fashion,3217,1,3217,East
2024-03-23,Phone,Electronics,67138,6,402828,South
2024-03-23,Phone,Electronics,23763,4,95052,North
2024-03-23,Phone,Electronics,42864,9,385776,South
2024-03-25,Laptop,Electronics,91290,4,365160,East
2024-03-25,Shoes,Fashion,2788,7,19516,North
2024-03-25,Shoes,Fashion,2891,2,5782,North
2024-03-25,Shoes,Fashion,6047,9,54423,West
2024-03-25,Shoes,Fashion,3112,4,12448,South
2024-03-26,Shoes,Fashion,1580,9,14220,West
2024-03-26,Headphones,Electronics,3785,6,22710,North
2024-03-26,Phone,Electronics,49209,2,98418,West
2024-03-26,Watch,Fashion,16452,9,148068,South
2024-03-26,Shoes,Fashion,3261,1,3261,North
2024-03-27,Laptop,Electronics,115365,4,461460,East
2024-03-27,Phone,Electronics,25094,2,50188,East
2024-03-27,Phone,Electronics,31825,3,95475,South
2024-03-28,Laptop,Electronics,94040,3,282120,North
2024-03-28,Headphones,Electronics,5918,7,41426,East
2024-03-28,Shoes,Fashion,1315,4,5260,North
2024-03-28,Laptop,Electronics,117394,10,1173940,West
2024-03-28,Headphones,Electronics,10474,4,41896,North
2024-03-28,Phone,Electronics,33758,1,33758,South
2024-03-28,Laptop,Electronics,78990,2,157980,East
2024-03-29,Phone,Electronics,63896,8,511168,West
2024-03-29,Laptop,Electronics,149538,4,598152,West
2024-03-29,Laptop,Electronics,88638,7,620466,South
2024-03-29,Laptop,Electronics,51910,10,519100,North
2024-03-29,Phone,Electronics,57759,1,57759,South
2024-03-29,Watch,Fashion,17795,2,35590,North
2024-03-30,Watch,Fashion,3120,10,31200,North
2024-03-30,Shoes,Fashion,7262,6,43572,South
2024-03-30,Headphones,Electronics,4992,8,39936,West
2024-03-31,Watch,Fashion,6286,1,6286,South
2024-03-31,Watch,Fashion,7299,2,14598,North
2024-03-31,Shoes,Fashion,1708,6,10248,East
2024-04-01,Phone,Electronics,15374,9,138366,West
2024-04-01,Headphones,Electronics,8579,10,85790,West
2024-04-01,Headphones,Electronics,6450,2,12900,North
2024-04-01,Phone,Electronics,29277,1,29277,South
2024-04-01,Shoes,Fashion,7749,9,69741,East
2024-04-02,Phone,Electronics,59764,4,239056,South
2024-04-02,Laptop,Electronics,135842,3,407526,East
2024-04-02,Phone,Electronics,32807,2,65614,West
2024-04-03,Shoes,Fashion,4349,1,4349,West
2024-04-03,Watch,Fashion,13266,10,132660,West
2024-04-04,Phone,Electronics,66160,6,396960,North
2024-04-05,Headphones,Electronics,11132,9,100188,North
2024-04-05,Phone,Electronics,26069,1,26069,North
2024-04-05,Laptop,Electronics,130754,3,392262,South
2024-04-05,Phone,Electronics,66897,8,535176,East
2024-04-05,Shoes,Fashion,7396,5,36980,South
2024-04-05,Shoes,Fashion,1783,7,12481,South
2024-04-06,Watch,Fashion,18219,8,145752,West
2024-04-06,Shoes,Fashion,3253,6,19518,North
2024-04-06,Laptop,Electronics,65947,5,329735,West
2024-04-06,Phone,Electronics,39519,9,355671,North
2024-04-06,Watch,Fashion,5614,7,39298,North
2024-04-06,Laptop,Electronics,89489,9,805401,East
2024-04-07,Headphones,Electronics,13769,5,68845,West
2024-04-07,Phone,Electronics,40335,9,363015,South
2024-04-07,Shoes,Fashion,2248,1,2248,South
2024-04-07,Headphones,Electronics,5060,2,10120,East
2024-04-07,Shoes,Fashion,1228,9,11052,West
2024-04-07,Laptop,Electronics,134277,8,1074216,North
2024-04-07,Phone,Electronics,64161,7,449127,West
2024-04-07,Shoes,Fashion,3356,5,16780,East
2024-04-08,Watch,Fashion,9360,5,46800,West
2024-04-08,Laptop,Electronics,101370,7,709590,North
2024-04-08,Shoes,Fashion,2250,3,6750,North
2024-04-09,Watch,Fashion,6296,4,25184,South
2024-04-09,Laptop,Electronics,130180,9,1171620,South
2024-04-09,Watch,Fashion,10118,7,70826,East
2024-04-09,Phone,Electronics,63811,6,382866,West
2024-04-09,Shoes,Fashion,4528,4,18112,South
2024-04-09,Laptop,Electronics,56766,5,283830,North
2024-04-10,Watch,Fashion,2947,9,26523,North
2024-04-10,Phone,Electronics,47877,8,383016,North
2024-04-11,Shoes,Fashion,5978,1,5978,South
2024-04-11,Watch,Fashion,18464,5,92320,South
2024-04-11,Headphones,Electronics,6271,7,43897,South
2024-04-11,Watch,Fashion,14592,1,14592,South
2024-04-12,Watch,Fashion,3014,7,21098,East
2024-04-13,Watch,Fashion,15734,7,110138,North
2024-04-13,Headphones,Electronics,12475,6,74850,West
2024-04-13,Headphones,Electronics,9059,4,36236,South
2024-04-13,Watch,Fashion,18803,1,18803,South
2024-04-13,Headphones,Electronics,8422,5,42110,North
2024-04-14,Watch,Fashion,9177,1,9177,North
2024-04-14,Phone,Electronics,31438,2,62876,East
2024-04-14,Watch,Fashion,10726,3,32178,East
2024-04-14,Shoes,Fashion,6675,7,46725,North
2024-04-14,Shoes,Fashion,4589,8,36712,West
2024-04-14,Phone,Electronics,57678,4,230712,North
2024-04-14,Watch,Fashion,13295,10,132950,West
2024-04-15,Laptop,Electronics,105179,2,210358,West
2024-04-15,Laptop,Electronics,91556,2,183112,South
2024-04-15,Watch,Fashion,11696,3,35088,East
2024-04-15,Phone,Electronics,60409,9,543681,East
2024-04-15,Headphones,Electronics,4367,5,21835,North
2024-04-16,Phone,Electronics,60223,6,361338,West
2024-04-16,Shoes,Fashion,5857,2,11714,East
2024-04-16,Phone,Electronics,34513,6,207078,West
2024-04-17,Phone,Electronics,64111,5,320555,West
2024-04-17,Headphones,Electronics,2374,5,11870,West
2024-04-17,Laptop,Electronics,144324,5,721620,East
2024-04-18,Laptop,Electronics,139146,9,1252314,East
2024-04-18,Phone,Electronics,51153,1,51153,East
2024-04-18,Watch,Fashion,10617,10,106170,North
2024-04-18,Shoes,Fashion,3815,9,34335,West
2024-04-18,Laptop,Electronics,90218,3,270654,North
2024-04-19,Headphones,Electronics,11451,9,103059,North
2024-04-19,Shoes,Fashion,6148,7,43036,East
2024-04-19,Headphones,Electronics,2872,8,22976,West
2024-04-20,Watch,Fashion,4087,10,40870,South
2024-04-20,Shoes,Fashion,5980,2,11960,South
2024-04-20,Watch,Fashion,15246,7,106722,East
2024-04-20,Watch,Fashion,5479,7,38353,North
2024-04-20,Shoes,Fashion,3732,10,37320,West
2024-04-20,Watch,Fashion,18294,9,164646,East
2024-04-20,Shoes,Fashion,3282,7,22974,East
2024-04-20,Shoes,Fashion,3692,5,18460,North
2024-04-20,Watch,Fashion,14311,10,143110,South
2024-04-21,Laptop,Electronics,122922,10,1229220,East
2024-04-21,Shoes,Fashion,1040,10,10400,East
2024-04-21,Laptop,Electronics,98578,2,197156,West
2024-04-21,Headphones,Electronics,2291,8,18328,West
2024-04-22,Shoes,Fashion,5388,9,48492,South
2024-04-22,Laptop,Electronics,92529,1,92529,East
2024-04-22,Headphones,Electronics,13252,4,53008,East
2024-04-22,Headphones,Electronics,3116,8,24928,South
2024-04-22,Headphones,Electronics,12775,10,127750,North
2024-04-22,Headphones,Electronics,8215,6,49290,North
2024-04-22,Phone,Electronics,34125,9,307125,East
2024-04-22,Laptop,Electronics,103949,4,415796,East
2024-04-23,Headphones,Electronics,14458,5,72290,East
2024-04-23,Phone,Electronics,40353,9,363177,East
2024-04-23,Laptop,Electronics,78143,10,781430,East
2024-04-23,Headphones,Electronics,14240,4,56960,South
2024-04-24,Watch,Fashion,13304,8,106432,North
2024-04-24,Shoes,Fashion,2512,2,5024,West
2024-04-24,Headphones,Electronics,2187,10,21870,East
2024-04-25,Shoes,Fashion,4936,2,9872,East
2024-04-25,Laptop,Electronics,130394,3,391182,South
2024-04-25,Laptop,Electronics,71930,7,503510,East
2024-04-25,Headphones,Electronics,13496,10,134960,South
2024-04-26,Shoes,Fashion,2080,3,6240,South
2024-04-26,Watch,Fashion,6907,10,69070,East
2024-04-26,Phone,Electronics,35535,5,177675,East
2024-04-26,Watch,Fashion,19230,6,115380,West
2024-04-27,Phone,Electronics,55173,5,275865,North
2024-04-27,Phone,Electronics,32406,10,324060,West
2024-04-27,Shoes,Fashion,2826,9,25434,West
2024-04-28,Headphones,Electronics,5284,1,5284,East
2024-04-28,Watch,Fashion,5559,1,5559,East
2024-04-29,Laptop,Electronics,53368,4,213472,West
2024-04-29,Headphones,Electronics,12855,8,102840,West
2024-04-29,Headphones,Electronics,13892,8,111136,West
2024-04-29,Laptop,Electronics,107413,10,1074130,West
2024-04-29,Shoes,Fashion,6583,4,26332,East
2024-04-29,Watch,Fashion,15916,10,159160,North
2024-04-29,Phone,Electronics,18606,7,130242,West
2024-04-30,Headphones,Electronics,4266,6,25596,South
2024-04-30,Shoes,Fashion,5464,10,54640,North
2024-04-30,Headphones,Electronics,10489,2,20978,North
2024-05-01,Headphones,Electronics,4862,5,24310,East
2024-05-01,Phone,Electronics,63465,1,63465,North
2024-05-02,Shoes,Fashion,3380,9,30420,East
2024-05-02,Shoes,Fashion,6577,6,39462,North
2024-05-02,Headphones,Electronics,2251,9,20259,East
2024-05-02,Shoes,Fashion,3655,6,21930,North
2024-05-02,Laptop,Electronics,58719,8,469752,West
2024-05-02,Watch,Fashion,14657,3,43971,East
2024-05-03,Headphones,Electronics,14878,10,148780,East
2024-05-03,Watch,Fashion,12174,5,60870,East
2024-05-03,Headphones,Electronics,12188,4,48752,West
2024-05-04,Shoes,Fashion,5866,2,11732,South
2024-05-04,Shoes,Fashion,5899,10,58990,East
2024-05-04,Phone,Electronics,55840,8,446720,East
2024-05-04,Watch,Fashion,10060,2,20120,North
2024-05-05,Phone,Electronics,23387,5,116935,South
